"No.","Time","Source","Destination","Protocol","Length","Info"
"140","44.564578","163.70.146.60","10.0.2.15","TCP","60","443  >  52472 [ACK] Seq=1 Ack=2276 Win=65535 Len=0"
"141","44.566041","10.0.2.15","163.70.146.60","TLSv1.3","60","Change Cipher Spec"
"142","44.566772","163.70.146.60","10.0.2.15","TCP","60","443  >  52472 [ACK] Seq=1 Ack=2282 Win=65535 Len=0"
"143","46.080487","10.0.2.15","23.11.38.161","TCP","54","[TCP Dup ACK 15#4] 57446  >  80 [ACK] Seq=1 Ack=1 Win=61672 Len=0"
"144","46.081281","23.11.38.161","10.0.2.15","TCP","60","[TCP Dup ACK 16#4] 80  >  57446 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"145","49.152804","fe80::a00:27ff:fee3:7c93","fd17:625c:f037:2::3","ICMPv6","86","Neighbor Solicitation for fd17:625c:f037:2::3 from 08:00:27:e3:7c:93"
"146","49.153459","fd17:625c:f037:2::3","fe80::a00:27ff:fee3:7c93","ICMPv6","86","Neighbor Advertisement fd17:625c:f037:2::3 (rtr, sol, ovr) is at 52:54:00:12:35:00"
"147","50.775981","fe80::2","ff02::1","ICMPv6","134","Router Advertisement from 52:54:00:12:35:00"
"148","50.792990","fe80::a00:27ff:fee3:7c93","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"149","51.816982","fe80::a00:27ff:fee3:7c93","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"150","54.784430","10.0.2.15","163.70.146.60","TCP","54","[TCP Keep-Alive] 52472  >  443 [ACK] Seq=2281 Ack=1 Win=64240 Len=0"
"151","54.784969","10.0.2.15","163.70.146.60","TCP","54","[TCP Keep-Alive] 52478  >  443 [ACK] Seq=1898 Ack=1 Win=64240 Len=0"
"152","54.785155","163.70.146.60","10.0.2.15","TCP","60","[TCP Keep-Alive ACK] 443  >  52472 [ACK] Seq=1 Ack=2282 Win=65535 Len=0"
"153","54.785726","163.70.146.60","10.0.2.15","TCP","60","[TCP Keep-Alive ACK] 443  >  52478 [ACK] Seq=1 Ack=1899 Win=65535 Len=0"
"154","56.321133","10.0.2.15","23.11.38.161","TCP","54","[TCP Dup ACK 15#5] 57446  >  80 [ACK] Seq=1 Ack=1 Win=61672 Len=0"
"155","56.322059","23.11.38.161","10.0.2.15","TCP","60","[TCP Dup ACK 16#5] 80  >  57446 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"156","57.826443","163.70.146.60","10.0.2.15","TLSv1.3","1354","Server Hello, Change Cipher Spec"
"157","57.826555","10.0.2.15","163.70.146.60","TCP","54","52472  >  443 [ACK] Seq=2282 Ack=1301 Win=65535 Len=0"
"158","57.861635","163.70.146.60","10.0.2.15","TLSv1.3","775","Application Data"
"159","57.861795","10.0.2.15","163.70.146.60","TCP","54","52472  >  443 [ACK] Seq=2282 Ack=2022 Win=65535 Len=0"
"160","57.862615","10.0.2.15","163.70.146.60","TLSv1.3","138","Application Data, Application Data"
"161","57.863766","10.0.2.15","163.70.146.60","TLSv1.3","78","Application Data"
"162","57.864107","163.70.146.60","10.0.2.15","TCP","60","443  >  52472 [ACK] Seq=2022 Ack=2366 Win=65535 Len=0"
"163","57.864346","10.0.2.15","163.70.146.60","TCP","54","52472  >  443 [FIN, ACK] Seq=2390 Ack=2022 Win=65535 Len=0"
"164","57.864671","163.70.146.60","10.0.2.15","TCP","60","443  >  52472 [ACK] Seq=2022 Ack=2390 Win=65535 Len=0"
"165","57.864672","163.70.146.60","10.0.2.15","TCP","60","443  >  52472 [ACK] Seq=2022 Ack=2391 Win=65535 Len=0"
"166","58.521283","163.70.146.60","10.0.2.15","TLSv1.3","239","Application Data"
"167","58.521347","10.0.2.15","163.70.146.60","TCP","54","52472  >  443 [RST] Seq=2391 Win=0 Len=0"
"168","60.356538","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","113","58438  >  5222 [PSH, ACK] Seq=40 Ack=40 Win=65535 Len=39 [TCP PDU reassembled in 411]"
"169","60.357225","10.0.2.15","163.70.146.60","TLSv1.2","93","Application Data"
"170","60.357282","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","5222  >  58438 [ACK] Seq=40 Ack=79 Win=65535 Len=0"
"171","60.358003","163.70.146.60","10.0.2.15","TCP","60","443  >  49762 [ACK] Seq=40 Ack=79 Win=65535 Len=0"
"172","60.362852","10.0.2.15","163.70.146.60","TCP","74","32828  >  5222 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=58343242 TSecr=0 WS=512"
"173","60.450194","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","113","5222  >  58438 [PSH, ACK] Seq=40 Ack=79 Win=65535 Len=39 [TCP PDU reassembled in 414]"
"174","60.450196","163.70.146.60","10.0.2.15","TLSv1.2","93","Application Data"
"175","60.450339","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","58438  >  5222 [ACK] Seq=79 Ack=79 Win=65535 Len=0"
"176","60.450577","10.0.2.15","163.70.146.60","TCP","54","49762  >  443 [ACK] Seq=79 Ack=79 Win=65535 Len=0"
"177","60.477606","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"178","60.477777","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"179","60.481380","10.0.2.15","163.70.146.60","TCP","2329","32828  >  5222 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=2275 [TCP PDU reassembled in 402]"
"180","60.482358","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=1 Ack=1461 Win=65535 Len=0"
"181","60.482359","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=1 Ack=2276 Win=65535 Len=0"
"182","60.482386","10.0.2.15","163.70.146.60","TCP","885","32828  >  5222 [PSH, ACK] Seq=2276 Ack=1 Win=64240 Len=831 [TCP PDU reassembled in 402]"
"183","60.483107","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=1 Ack=3107 Win=65535 Len=0"
"184","61.861959","163.70.146.60","10.0.2.15","TCP","1494","5222  >  32828 [ACK] Seq=1 Ack=3107 Win=65535 Len=1440 [TCP PDU reassembled in 450]"
"185","61.861960","163.70.146.60","10.0.2.15","TCP","823","5222  >  32828 [PSH, ACK] Seq=1441 Ack=3107 Win=65535 Len=769 [TCP PDU reassembled in 450]"
"186","61.862142","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=3107 Ack=1441 Win=65535 Len=0"
"187","61.862321","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=3107 Ack=2210 Win=65535 Len=0"
"188","61.865668","10.0.2.15","163.70.146.60","TCP","138","32828  >  5222 [PSH, ACK] Seq=3107 Ack=2210 Win=65535 Len=84 [TCP PDU reassembled in 402]"
"189","61.866681","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=2210 Ack=3191 Win=65535 Len=0"
"190","62.104135","10.0.2.15","163.70.146.60","TCP","296","32828  >  5222 [PSH, ACK] Seq=3191 Ack=2210 Win=65535 Len=242 [TCP PDU reassembled in 402]"
"191","62.104734","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=2210 Ack=3433 Win=65535 Len=0"
"192","62.935382","163.70.146.60","10.0.2.15","TCP","239","5222  >  32828 [PSH, ACK] Seq=2210 Ack=3433 Win=65535 Len=185 [TCP PDU reassembled in 450]"
"193","62.980227","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=3433 Ack=2395 Win=65535 Len=0"
"194","63.553976","163.70.146.60","10.0.2.15","TCP","270","5222  >  32828 [PSH, ACK] Seq=2395 Ack=3433 Win=65535 Len=216 [TCP PDU reassembled in 450]"
"195","63.554172","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=3433 Ack=2611 Win=65535 Len=0"
"196","63.631963","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TLSv1.2","149","Application Data"
"197","63.632808","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48820 [ACK] Seq=2907 Ack=3404 Win=65535 Len=0"
"198","63.676954","10.0.2.15","163.70.146.60","TCP","126","32828  >  5222 [PSH, ACK] Seq=3433 Ack=2611 Win=65535 Len=72 [TCP PDU reassembled in 402]"
"199","63.677670","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=2611 Ack=3505 Win=65535 Len=0"
"200","63.678367","10.0.2.15","163.70.146.60","TCP","84","32828  >  5222 [PSH, ACK] Seq=3505 Ack=2611 Win=65535 Len=30 [TCP PDU reassembled in 402]"
"201","63.678607","10.0.2.15","163.70.146.60","TCP","4714","32828  >  5222 [PSH, ACK] Seq=3535 Ack=2611 Win=65535 Len=4660 [TCP PDU reassembled in 402]"
"202","63.678882","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=2611 Ack=3535 Win=65535 Len=0"
"203","63.679442","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=2611 Ack=4995 Win=65535 Len=0"
"204","63.679442","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=2611 Ack=6455 Win=65535 Len=0"
"205","63.679443","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=2611 Ack=7915 Win=65535 Len=0"
"206","63.679443","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=2611 Ack=8195 Win=65535 Len=0"
"207","63.778546","163.70.146.60","10.0.2.15","TCP","126","5222  >  32828 [PSH, ACK] Seq=2611 Ack=8195 Win=65535 Len=72 [TCP PDU reassembled in 450]"
"208","63.778641","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8195 Ack=2683 Win=65535 Len=0"
"209","63.941373","10.0.2.15","163.70.146.60","TCP","128","32828  >  5222 [PSH, ACK] Seq=8195 Ack=2683 Win=65535 Len=74 [TCP PDU reassembled in 402]"
"210","63.941887","10.0.2.15","163.70.146.60","TCP","145","32828  >  5222 [PSH, ACK] Seq=8269 Ack=2683 Win=65535 Len=91 [TCP PDU reassembled in 402]"
"211","63.942073","10.0.2.15","163.70.146.60","TCP","145","32828  >  5222 [PSH, ACK] Seq=8360 Ack=2683 Win=65535 Len=91 [TCP PDU reassembled in 402]"
"212","63.942103","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=2683 Ack=8269 Win=65535 Len=0"
"213","63.942637","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=2683 Ack=8360 Win=65535 Len=0"
"214","63.942638","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=2683 Ack=8451 Win=65535 Len=0"
"215","63.944272","10.0.2.15","163.70.146.60","TCP","142","32828  >  5222 [PSH, ACK] Seq=8451 Ack=2683 Win=65535 Len=88 [TCP PDU reassembled in 402]"
"216","63.944548","10.0.2.15","163.70.146.60","TCP","211","32828  >  5222 [PSH, ACK] Seq=8539 Ack=2683 Win=65535 Len=157 [TCP PDU reassembled in 402]"
"217","63.944742","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=2683 Ack=8539 Win=65535 Len=0"
"218","63.944744","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=2683 Ack=8696 Win=65535 Len=0"
"219","64.976543","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","272","Application Data, Application Data, Application Data"
"220","64.976725","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48820  >  443 [ACK] Seq=3404 Ack=3105 Win=65535 Len=0"
"221","65.025357","10.0.2.15","163.70.146.60","TCP","54","[TCP Keep-Alive] 52478  >  443 [ACK] Seq=1898 Ack=1 Win=64240 Len=0"
"222","65.026242","163.70.146.60","10.0.2.15","TCP","60","[TCP Keep-Alive ACK] 443  >  52478 [ACK] Seq=1 Ack=1899 Win=65535 Len=0"
"223","66.560110","10.0.2.15","23.11.38.161","TCP","54","[TCP Dup ACK 15#6] 57446  >  80 [ACK] Seq=1 Ack=1 Win=61672 Len=0"
"224","66.560858","23.11.38.161","10.0.2.15","TCP","60","[TCP Dup ACK 16#6] 80  >  57446 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"225","67.478579","163.70.146.60","10.0.2.15","TLSv1.3","1354","Server Hello, Change Cipher Spec"
"226","67.478755","10.0.2.15","163.70.146.60","TCP","54","52478  >  443 [ACK] Seq=1899 Ack=1301 Win=65535 Len=0"
"227","67.479810","163.70.146.60","10.0.2.15","TLSv1.3","1494","Application Data"
"228","67.479811","163.70.146.60","10.0.2.15","TLSv1.3","1494","Application Data"
"229","67.479831","10.0.2.15","163.70.146.60","TCP","54","52478  >  443 [ACK] Seq=1899 Ack=2741 Win=65535 Len=0"
"230","67.479955","10.0.2.15","163.70.146.60","TCP","54","52478  >  443 [ACK] Seq=1899 Ack=4181 Win=65535 Len=0"
"231","67.480539","163.70.146.60","10.0.2.15","TLSv1.3","88","Application Data"
"232","67.480544","10.0.2.15","163.70.146.60","TCP","54","52478  >  443 [ACK] Seq=1899 Ack=4215 Win=65535 Len=0"
"233","67.487451","10.0.2.15","23.11.38.161","OCSP","485","[TCP Previous segment not captured] Request"
"234","67.488184","23.11.38.161","10.0.2.15","TCP","60","80  >  57446 [ACK] Seq=1 Ack=433 Win=65535 Len=0"
"235","69.489209","10.0.2.15","163.70.146.60","TLSv1.3","118","Change Cipher Spec, Application Data"
"236","69.489952","10.0.2.15","163.70.146.60","TLSv1.3","876","Application Data"
"237","69.490117","163.70.146.60","10.0.2.15","TCP","60","443  >  52478 [ACK] Seq=4215 Ack=1963 Win=65535 Len=0"
"238","69.490759","163.70.146.60","10.0.2.15","TCP","60","443  >  52478 [ACK] Seq=4215 Ack=2785 Win=65535 Len=0"
"239","70.335889","23.11.38.161","10.0.2.15","OCSP","696","Response"
"240","70.336054","10.0.2.15","23.11.38.161","TCP","54","57446  >  80 [ACK] Seq=433 Ack=643 Win=61030 Len=0"
"241","71.017055","163.70.146.60","10.0.2.15","TLSv1.3","239","Application Data"
"242","71.017188","10.0.2.15","163.70.146.60","TCP","54","52478  >  443 [ACK] Seq=2785 Ack=4400 Win=65535 Len=0"
"243","71.670475","163.70.146.60","10.0.2.15","TLSv1.3","242","Application Data"
"244","71.670674","10.0.2.15","163.70.146.60","TCP","54","52478  >  443 [ACK] Seq=2785 Ack=4588 Win=65535 Len=0"
"245","71.674624","10.0.2.15","163.70.146.60","TLSv1.3","78","Application Data"
"246","71.674948","10.0.2.15","163.70.146.60","TCP","54","52478  >  443 [FIN, ACK] Seq=2809 Ack=4588 Win=65535 Len=0"
"247","71.675536","163.70.146.60","10.0.2.15","TCP","60","443  >  52478 [ACK] Seq=4588 Ack=2809 Win=65535 Len=0"
"248","71.675538","163.70.146.60","10.0.2.15","TCP","60","443  >  52478 [ACK] Seq=4588 Ack=2810 Win=65535 Len=0"
"249","73.305782","163.70.146.60","10.0.2.15","TCP","1494","5222  >  32828 [ACK] Seq=2683 Ack=8696 Win=65535 Len=1440 [TCP PDU reassembled in 450]"
"250","73.305904","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8696 Ack=4123 Win=65535 Len=0"
"251","73.307034","163.70.146.60","10.0.2.15","TCP","198","5222  >  32828 [PSH, ACK] Seq=4123 Ack=8696 Win=65535 Len=144 [TCP PDU reassembled in 450]"
"252","73.307138","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8696 Ack=4267 Win=65535 Len=0"
"253","73.311235","163.70.146.60","10.0.2.15","TCP","1354","5222  >  32828 [PSH, ACK] Seq=4267 Ack=8696 Win=65535 Len=1300 [TCP PDU reassembled in 450]"
"254","73.311330","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8696 Ack=5567 Win=65535 Len=0"
"255","73.322788","10.0.2.15","163.70.146.60","TCP","130","32828  >  5222 [PSH, ACK] Seq=8696 Ack=5567 Win=65535 Len=76 [TCP PDU reassembled in 402]"
"256","73.324201","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=5567 Ack=8772 Win=65535 Len=0"
"257","73.325336","163.70.146.60","10.0.2.15","TCP","993","5222  >  32828 [PSH, ACK] Seq=5567 Ack=8772 Win=65535 Len=939 [TCP PDU reassembled in 450]"
"258","73.346533","163.70.146.60","10.0.2.15","TCP","1494","5222  >  32828 [ACK] Seq=6506 Ack=8772 Win=65535 Len=1440 [TCP PDU reassembled in 450]"
"259","73.346535","163.70.146.60","10.0.2.15","TCP","127","5222  >  32828 [PSH, ACK] Seq=7946 Ack=8772 Win=65535 Len=73 [TCP PDU reassembled in 450]"
"260","73.346748","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=7946 Win=65535 Len=0"
"261","73.381803","163.70.146.60","10.0.2.15","TCP","1354","5222  >  32828 [PSH, ACK] Seq=8019 Ack=8772 Win=65535 Len=1300 [TCP PDU reassembled in 450]"
"262","73.382008","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=9319 Win=65535 Len=0"
"263","73.417695","163.70.146.60","10.0.2.15","TCP","1349","5222  >  32828 [PSH, ACK] Seq=9319 Ack=8772 Win=65535 Len=1295 [TCP PDU reassembled in 450]"
"264","73.460348","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=10614 Win=65535 Len=0"
"265","73.478028","163.70.146.60","10.0.2.15","TCP","1494","5222  >  32828 [ACK] Seq=10614 Ack=8772 Win=65535 Len=1440 [TCP PDU reassembled in 450]"
"266","73.478030","163.70.146.60","10.0.2.15","TCP","1214","5222  >  32828 [PSH, ACK] Seq=12054 Ack=8772 Win=65535 Len=1160 [TCP PDU reassembled in 450]"
"267","73.478200","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=12054 Win=65535 Len=0"
"268","73.478438","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=13214 Win=65535 Len=0"
"269","73.532152","163.70.146.60","10.0.2.15","TCP","1494","5222  >  32828 [ACK] Seq=13214 Ack=8772 Win=65535 Len=1440 [TCP PDU reassembled in 450]"
"270","73.532154","163.70.146.60","10.0.2.15","TCP","100","5222  >  32828 [PSH, ACK] Seq=14654 Ack=8772 Win=65535 Len=46 [TCP PDU reassembled in 450]"
"271","73.532311","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=14654 Win=65535 Len=0"
"272","73.532529","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=14700 Win=65535 Len=0"
"273","73.558942","163.70.146.60","10.0.2.15","TCP","1494","5222  >  32828 [ACK] Seq=14700 Ack=8772 Win=65535 Len=1440 [TCP PDU reassembled in 450]"
"274","73.558945","163.70.146.60","10.0.2.15","TCP","1214","5222  >  32828 [PSH, ACK] Seq=16140 Ack=8772 Win=65535 Len=1160 [TCP PDU reassembled in 450]"
"275","73.559171","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=16140 Win=65535 Len=0"
"276","73.559458","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=17300 Win=65535 Len=0"
"277","73.601270","163.70.146.60","10.0.2.15","TCP","1354","5222  >  32828 [PSH, ACK] Seq=17300 Ack=8772 Win=65535 Len=1300 [TCP PDU reassembled in 450]"
"278","73.601272","163.70.146.60","10.0.2.15","TCP","240","5222  >  32828 [PSH, ACK] Seq=18600 Ack=8772 Win=65535 Len=186 [TCP PDU reassembled in 450]"
"279","73.601405","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=18600 Win=65535 Len=0"
"280","73.601583","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=18786 Win=65535 Len=0"
"281","73.649160","163.70.146.60","10.0.2.15","TCP","1354","5222  >  32828 [PSH, ACK] Seq=18786 Ack=8772 Win=65535 Len=1300 [TCP PDU reassembled in 450]"
"282","73.649309","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=20086 Win=65535 Len=0"
"283","73.655572","163.70.146.60","10.0.2.15","TCP","1354","5222  >  32828 [PSH, ACK] Seq=20086 Ack=8772 Win=65535 Len=1300 [TCP PDU reassembled in 450]"
"284","73.655668","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=21386 Win=65535 Len=0"
"285","73.711625","163.70.146.60","10.0.2.15","TCP","1354","5222  >  32828 [PSH, ACK] Seq=21386 Ack=8772 Win=65535 Len=1300 [TCP PDU reassembled in 450]"
"286","73.711722","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=22686 Win=65535 Len=0"
"287","73.888287","163.70.146.60","10.0.2.15","TCP","1494","5222  >  32828 [ACK] Seq=22686 Ack=8772 Win=65535 Len=1440 [TCP PDU reassembled in 450]"
"288","73.888289","163.70.146.60","10.0.2.15","TCP","372","5222  >  32828 [PSH, ACK] Seq=24126 Ack=8772 Win=65535 Len=318 [TCP PDU reassembled in 450]"
"289","73.888427","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=24126 Win=65535 Len=0"
"290","73.888634","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=24444 Win=65535 Len=0"
"291","77.257909","163.70.146.60","10.0.2.15","TCP","123","5222  >  32828 [PSH, ACK] Seq=24444 Ack=8772 Win=65535 Len=69 [TCP PDU reassembled in 450]"
"292","77.257982","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=24513 Win=65535 Len=0"
"293","77.276004","163.70.146.60","10.0.2.15","TCP","705","5222  >  32828 [PSH, ACK] Seq=24513 Ack=8772 Win=65535 Len=651 [TCP PDU reassembled in 450]"
"294","77.276075","10.0.2.15","163.70.146.60","TCP","54","32828  >  5222 [ACK] Seq=8772 Ack=25164 Win=65535 Len=0"
"295","77.371719","10.0.2.15","163.70.146.60","TCP","140","32828  >  5222 [PSH, ACK] Seq=8772 Ack=25164 Win=65535 Len=86 [TCP PDU reassembled in 402]"
"296","77.372337","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=25164 Ack=8858 Win=65535 Len=0"
"297","77.379469","10.0.2.15","163.70.146.60","TCP","127","32828  >  5222 [PSH, ACK] Seq=8858 Ack=25164 Win=65535 Len=73 [TCP PDU reassembled in 402]"
"298","77.380276","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=25164 Ack=8931 Win=65535 Len=0"
"299","77.380514","10.0.2.15","163.70.146.60","TCP","127","32828  >  5222 [PSH, ACK] Seq=8931 Ack=25164 Win=65535 Len=73 [TCP PDU reassembled in 402]"
"300","77.380958","163.70.146.60","10.0.2.15","TCP","60","5222  >  32828 [ACK] Seq=25164 Ack=9004 Win=65535 Len=0"
"301","77.381555","10.0.2.15","163.70.146.60","TCP","128","32828  >  5222 [PSH, ACK] Seq=9004 Ack=25164 Win=65535 Len=74 [TCP PDU reassembled in 402]"
